loss,mass,count,frequency
C2H2O,42.010564684,17,0.012147722186624976
C5H12F,91.092303604,1,2.9069767441860465E-4
C12H11NO4,233.068807832,1,2.9069767441860465E-4
C3H5N,55.042199159999996,9,0.002616279069767442
C3H2F4N3,156.018484944,1,2.9069767441860465E-4
CH4FN3O2,109.028754588,1,2.9069767441860465E-4
C6H14N2O,130.110613068,2,5.813953488372093E-4
HNO2S,78.972799272,1,2.9069767441860465E-4
C6H8,80.062600256,3,8.720930232558139E-4
C16H16,208.125200512,1,2.9069767441860465E-4
CH4N2O,60.032362748,2,5.813953488372093E-4
C7H6OS,138.013935812,1,2.9069767441860465E-4
C4H2F2,88.012456504,1,2.9069767441860465E-4
CH2O2,46.005479304,15,0.01109218817778776
C5H9N,83.073499288,1,2.9069767441860465E-4
C3H8O3,92.04734411599999,1,2.9069767441860465E-4
C3H3FO,74.016792936,1,2.9069767441860465E-4
C14H4F6,286.021719448,1,2.9069767441860465E-4
C2H7NO,61.052763844,1,2.9069767441860465E-4
C2ClN,72.97192668,1,2.9069767441860465E-4
CH2,14.015650063999999,8,0.008920950437842736
C2H2O2,58.005479304,2,5.813953488372093E-4
C2H3N,41.026549096,2,5.813953488372093E-4
C2H9O4,97.050083768,1,2.9069767441860465E-4
C4H5F2NO,121.03392022,1,2.9069767441860465E-4
C7H9FO,128.063743128,1,2.9069767441860465E-4
C6H10O2,114.06807956,1,2.9069767441860465E-4
C9H8O,132.057514876,3,8.720930232558139E-4
H9FN3,70.078050508,1,2.9069767441860465E-4
C8H8O,120.057514876,1,2.9069767441860465E-4
C10H12,132.093900384,1,2.9069767441860465E-4
CH2O3,62.000393923999994,2,5.813953488372093E-4
C4H4,52.031300128,13,0.009597068143170745
CH3F,34.021878316,2,5.813953488372093E-4
O,15.99491462,2,5.813953488372093E-4
C10H16O3,184.10994437199997,1,2.9069767441860465E-4
C6H12N2O,128.094963004,1,2.9069767441860465E-4
H3,3.023475096,2,5.813953488372093E-4
C2H3NO,57.021463716,2,5.813953488372093E-4
C10H18O,154.135765196,1,2.9069767441860465E-4
C7H10O2,126.06807956,1,2.9069767441860465E-4
C10H9Br,207.988762388,1,2.9069767441860465E-4
C10H10,130.07825032,6,0.0017441860465116279
HF,20.006228252,11,0.01223483698412173
C2H6O4,94.026608672,1,2.9069767441860465E-4
C2H2O3,74.000393924,1,2.9069767441860465E-4
C3H2O,54.010564684,9,0.002616279069767442
C4H6FNO2,119.038256652,1,2.9069767441860465E-4
C2H7NO2,77.047678464,1,2.9069767441860465E-4
C4H3ClFNO2,150.983634236,1,2.9069767441860465E-4
C5H9F2N3S,181.048524728,1,2.9069767441860465E-4
CHNO,43.005813652,16,0.01188179875079748
C6H3Cl,109.992327776,1,2.9069767441860465E-4
C3H7,43.054775224,2,5.813953488372093E-4
CH3FO,50.016792936,1,2.9069767441860465E-4
C3H2O2,70.005479304,5,0.0014534883720930232
C4H2,50.015650064,1,2.9069767441860465E-4
C10H9FO,164.063743128,2,5.813953488372093E-4
H4FO,39.024617968,1,2.9069767441860465E-4
H3N,17.026549096,10,0.01114997202906222
C10H9Cl,164.039277968,1,2.9069767441860465E-4
C3H3NO,69.021463716,4,0.0011627906976744186
CH6N2O2,78.042927432,1,2.9069767441860465E-4
C17H9Cl2F3,340.003340308,1,2.9069767441860465E-4
CS,43.972071,2,5.813953488372093E-4
C4H4O2,84.021129368,2,5.813953488372093E-4
C6H4FN,109.032777348,1,2.9069767441860465E-4
C5H6F2O3,152.02850049199998,1,2.9069767441860465E-4
C2H4O,44.026214748,6,0.0017441860465116279
C6H4F3N3O4,239.01539026799998,1,2.9069767441860465E-4
C5H12O4,136.073558864,1,2.9069767441860465E-4
C5H9N3O,127.07456190799999,1,2.9069767441860465E-4
C11H10O,158.07316494,2,5.813953488372093E-4
C2H3NO2,73.016378336,1,2.9069767441860465E-4
C12HN,159.010899032,1,2.9069767441860465E-4
HFO,36.001142872,1,2.9069767441860465E-4
C9H8O2,148.052429496,2,5.813953488372093E-4
C3H2O3,86.000393924,12,0.0034883720930232558
C8H4F2N2,166.034254568,1,2.9069767441860465E-4
C7O,99.99491462,1,2.9069767441860465E-4
C4FNOS,128.96846284,1,2.9069767441860465E-4
C5H11N,85.08914935199999,1,2.9069767441860465E-4
C11HF2N,185.007705472,1,2.9069767441860465E-4
C4H7N,69.057849224,2,5.813953488372093E-4
C7HFN2O,148.007290872,1,2.9069767441860465E-4
C4H2O2,82.005479304,1,2.9069767441860465E-4
C4H5NO,83.03711378,1,2.9069767441860465E-4
C9H2O4,173.995308544,1,2.9069767441860465E-4
CHN,27.010899031999998,13,0.0037790697674418604
C3H3F,58.021878316,1,2.9069767441860465E-4
C6H6,78.046950192,14,0.003995731738712521
C10H9,129.070425288,1,2.9069767441860465E-4
C7H6F3N,161.045233852,1,2.9069767441860465E-4
C4F3N,118.99828366,1,2.9069767441860465E-4
C6H10O5,162.05282341999998,3,7.90043281985626E-4
CH3,15.023475096,8,0.008481305914976301
C5H10O2,102.06807956,5,0.0014534883720930232
C2H5ClFN5,153.02175105999999,1,2.9069767441860465E-4
C3H7Cl2FNO2S,209.955858044,1,2.9069767441860465E-4
C2H4O2,60.021129368,11,0.007863542582431842
CH4O,32.026214748,8,0.002325581395348837
C7H8O4,156.042258736,1,2.9069767441860465E-4
C3H8O6,140.03208797599999,1,2.9069767441860465E-4
C7F2S,153.96887744,1,2.9069767441860465E-4
C2HF,44.006228252,1,2.9069767441860465E-4
CH6N2,46.053098192,1,2.9069767441860465E-4
C2O2,55.98982924,3,8.720930232558139E-4
CHNO3S,106.96771389199999,1,2.9069767441860465E-4
C5H9F3N2,154.071782948,1,2.9069767441860465E-4
CH3O,31.018389716,1,2.9069767441860465E-4
C10H20O2,172.14632988,1,2.9069767441860465E-4
C5H8O,84.057514876,5,0.0014534883720930232
C6H3ClN2,137.998475776,1,2.9069767441860465E-4
C2HF2NO2,108.997534712,1,2.9069767441860465E-4
C6FNO,120.99639184,1,2.9069767441860465E-4
C4H8O3,104.04734411599999,1,2.9069767441860465E-4
CH4O2,48.021129368,1,2.9069767441860465E-4
C8H8,104.062600256,7,0.0020348837209302325
C6H2,74.015650064,1,2.9069767441860465E-4
C8H12O2,140.083729624,1,2.9069767441860465E-4
C2H4,28.031300127999998,11,0.01238296116759908
C3H8O2,76.052429496,1,2.9069767441860465E-4
CFN,45.00147722,1,2.9069767441860465E-4
C8HN,111.010899032,1,2.9069767441860465E-4
C4H6FN3O2,147.044404652,1,2.9069767441860465E-4
C4H4O,68.026214748,7,0.0020348837209302325
C7H13N,111.10479941599999,1,2.9069767441860465E-4
C2H4O3,76.01604398799999,1,2.9069767441860465E-4
C5H4FN3O3,173.023669208,1,2.9069767441860465E-4
C5H9Cl,104.039277968,1,2.9069767441860465E-4
C14H19FN2O,250.148141448,2,5.813953488372093E-4
C7H13Cl,132.070578096,1,2.9069767441860465E-4
C5HN,75.010899032,1,2.9069767441860465E-4
CH4,16.031300127999998,9,0.010141894438042526
CF2O,65.99172106,1,2.9069767441860465E-4
C9H2F3NO,197.008848344,1,2.9069767441860465E-4
C7H3F,106.021878316,2,5.813953488372093E-4
C9H12O,136.088815004,1,2.9069767441860465E-4
C6H11N,97.08914935199999,1,2.9069767441860465E-4
C8N2O2,155.99597724,1,2.9069767441860465E-4
C3H6F2N4,136.056052632,1,2.9069767441860465E-4
C6H6F3N,149.045233852,1,2.9069767441860465E-4
C8H2F2N2S,195.990675504,1,2.9069767441860465E-4
C5H8,68.062600256,7,0.006908474234556564
C5H11NO2,117.078978592,1,2.9069767441860465E-4
CCl2FNS,146.91125358,1,2.9069767441860465E-4
C7H6N2O,134.048012812,1,2.9069767441860465E-4
C2H3F,46.021878316,1,2.9069767441860465E-4
C4HCl,83.976677712,1,2.9069767441860465E-4
C4H6N2O,98.048012812,1,2.9069767441860465E-4
C5H3ClF3N,168.990611436,1,2.9069767441860465E-4
C12H16O3,208.10994437199997,1,2.9069767441860465E-4
C7H5F3O,162.02924944,2,5.813953488372093E-4
C2O3,71.98474386,1,2.9069767441860465E-4
C8H18F2N2,180.143805016,1,2.9069767441860465E-4
C2HFO,60.001142872,2,5.813953488372093E-4
C8H3Cl2F3N2,253.962538116,1,2.9069767441860465E-4
C5H2O,78.010564684,1,2.9069767441860465E-4
C5F3N,130.99828366,1,2.9069767441860465E-4
C5H13NO,103.099714036,1,2.9069767441860465E-4
H5F,24.037528379999998,1,2.9069767441860465E-4
C7H4FN,121.032777348,2,5.813953488372093E-4
C2HN,39.010899032,2,5.813953488372093E-4
C7H3F6N,215.016968416,1,2.9069767441860465E-4
C9H13N3,163.110947416,1,2.9069767441860465E-4
C5H8O3,116.04734411599999,2,5.813953488372093E-4
C8H10,106.07825032,1,2.9069767441860465E-4
