loss,mass,count,frequency
H8O4S,104.014329736,1,2.1213406873143826E-4
C7H7ClN2O3S,233.986590764,1,2.1213406873143826E-4
C8H10O2,138.06807956,2,4.2426813746287653E-4
C2H2,26.015650064,24,0.011508348609785342
C8H12N2O4S,232.051777864,1,2.1213406873143826E-4
C11H17N,163.136099544,1,2.1213406873143826E-4
C14H6FS,225.017424412,1,2.1213406873143826E-4
C13H12O2,200.083729624,1,2.1213406873143826E-4
C12H4OS,195.998285748,1,2.1213406873143826E-4
H2NO2S,79.980624304,1,2.1213406873143826E-4
C3H2OS,85.982635684,1,2.1213406873143826E-4
C6HNS,118.982970032,1,2.1213406873143826E-4
C7H4,88.031300128,1,2.1213406873143826E-4
Cl,34.96885268,1,2.1213406873143826E-4
C7H9NO,123.068413908,1,2.1213406873143826E-4
C4H8N2,84.06874825599999,3,6.364022061943148E-4
C5H4O2S,127.993200368,1,2.1213406873143826E-4
C3HN,51.010899032,1,2.1213406873143826E-4
C6H10,82.07825032,3,6.364022061943148E-4
C9H9NO2,163.063328528,2,4.2426813746287653E-4
C11H10N7O3S2,352.02865418,1,2.1213406873143826E-4
C5H5NO,95.03711378,1,2.1213406873143826E-4
C2H7N3OS2,153.00305384400002,2,4.2426813746287653E-4
C3H9O2P,108.034016158,1,2.1213406873143826E-4
C4H5NO2,99.0320284,1,2.1213406873143826E-4
CH2O,30.010564684,22,0.010861704920676715
CH5NO2S,95.0040994,1,2.1213406873143826E-4
C8H18N2O2,174.136827816,1,2.1213406873143826E-4
C3H6N2,70.053098192,1,2.1213406873143826E-4
C6H11NOS,145.056134972,1,2.1213406873143826E-4
C8H2O2,130.005479304,1,2.1213406873143826E-4
C7H6O2,122.036779432,1,2.1213406873143826E-4
C11H4S,168.003371128,1,2.1213406873143826E-4
C2H4N2O2S,119.999348368,1,2.1213406873143826E-4
C2H6O3S,110.00376505199999,1,2.1213406873143826E-4
C4H2N2OS,125.988783684,1,2.1213406873143826E-4
C17H26O5S,342.150094932,1,2.1213406873143826E-4
HCl,35.976677712,8,0.0016970725498515061
HS,32.979896032,4,8.485362749257531E-4
C2H7N,45.057849224,29,0.00615188799321171
C6H4ClN3O2,184.999204048,1,2.1213406873143826E-4
C6H2N2S2,165.965940064,1,2.1213406873143826E-4
CH2OS,61.982635684,5,0.0010606703436571913
C4H4S,84.003371128,8,0.0016970725498515061
N2O,44.00106262,2,4.2426813746287653E-4
C3H2N4S,126.00001706399999,1,2.1213406873143826E-4
C3H8OS2,124.001656876,1,2.1213406873143826E-4
C9H9NOS2,211.012555908,1,2.1213406873143826E-4
C6H6O2S,142.008850432,1,2.1213406873143826E-4
C2H2O,42.010564684,28,0.01102090350996178
C5ClN,108.97192668,1,2.1213406873143826E-4
C3H5N,55.042199159999996,20,0.004242681374628765
C2H7O3P,110.01328071399999,1,2.1213406873143826E-4
C13H11NOS2,261.028205972,1,2.1213406873143826E-4
C9H8OS,164.029585876,1,2.1213406873143826E-4
C11H13NO,175.099714036,1,2.1213406873143826E-4
C2H5O3PS,139.96970165,1,2.1213406873143826E-4
C4H2S,81.987721064,1,2.1213406873143826E-4
C6H9N5O2,183.075624528,2,4.2426813746287653E-4
C5H9NOS,131.040484908,1,2.1213406873143826E-4
C8H11NO4S,217.040878832,1,2.1213406873143826E-4
CHClOS,95.943663332,1,2.1213406873143826E-4
C8H3NO4S,208.978278576,1,2.1213406873143826E-4
C6H14N2O,130.110613068,3,6.364022061943148E-4
C7H7N,105.057849224,1,2.1213406873143826E-4
HNO2S,78.972799272,4,8.485362749257531E-4
C6H8,80.062600256,1,2.1213406873143826E-4
CH4N2O,60.032362748,13,0.0027577428935086977
H3O4P,97.976895206,3,6.364022061943148E-4
C5H8N2O2S,160.030648496,2,4.2426813746287653E-4
C7H6OS,138.013935812,2,4.2426813746287653E-4
C4H6OS,102.013935812,1,2.1213406873143826E-4
C2H7O4PS2,189.952337334,1,2.1213406873143826E-4
CH2O2,46.005479304,26,0.010176690075845391
C7H7O4P,186.008195334,1,2.1213406873143826E-4
C11H12O3S,224.05071524399997,1,2.1213406873143826E-4
C6H12N2OS,160.067034004,1,2.1213406873143826E-4
C8H11N3O2S,213.057197592,1,2.1213406873143826E-4
C5H9N,83.073499288,3,6.364022061943148E-4
C2O2S,87.96190024,1,2.1213406873143826E-4
C6H10O3S,162.03506517999998,1,2.1213406873143826E-4
C6H9NO2S,159.035399528,1,2.1213406873143826E-4
H2N4S2,121.97208806399999,1,2.1213406873143826E-4
C5H10S,102.05032132,1,2.1213406873143826E-4
C2H7NO,61.052763844,1,2.1213406873143826E-4
CH2,14.015650063999999,12,0.005719476232618967
C4H6O,70.041864812,4,8.485362749257531E-4
HCl2O3PS2,213.848177882,1,2.1213406873143826E-4
C5H13N,87.10479941599999,1,2.1213406873143826E-4
C5H3NO3S,156.983363956,1,2.1213406873143826E-4
C7H4O2,120.021129368,1,2.1213406873143826E-4
CN2S,71.978219,1,2.1213406873143826E-4
CH3O4P,109.976895206,1,2.1213406873143826E-4
C2H2O2,58.005479304,4,8.485362749257531E-4
C10H10N2O2,190.07422756,3,6.364022061943148E-4
