formula,score,frequency,count,mass
H2S,1.9359155217573696,0.03309291472210437,156,33.987721064
S,2.4976810071860767,0.056851930420025454,268,31.972071
O2S,1.5591003537040622,0.022486211285532458,106,63.96190024
