loss,mass,count,frequency
C4H9N,71.073499288,20,5.218117303276978E-4
C12H15N,173.12044948,2,5.2181173032769774E-5
C7H12N2,124.10004838399999,6,1.5654351909830932E-4
C6HFO2,123.996057492,2,5.2181173032769774E-5
C2H5NO2,75.0320284,3,7.827175954915466E-5
C4H7ClF3NO2,193.011740804,1,2.6090586516384887E-5
C2H8N2O5,140.04332135599998,1,2.6090586516384887E-5
C7H6O4,154.026608672,1,2.6090586516384887E-5
C5H7F,86.053178444,1,2.6090586516384887E-5
C15H12,192.093900384,3,7.827175954915466E-5
C14H16,184.125200512,2,5.2181173032769774E-5
C7H15N3O,157.1215121,2,5.2181173032769774E-5
C2H6OS,78.013935812,3,7.827175954915466E-5
C14H7,175.054775224,1,2.6090586516384887E-5
C2H13O5,117.07629851600001,1,2.6090586516384887E-5
C2H2OS,73.982635684,9,2.34815278647464E-4
C6H12,84.093900384,15,3.913587977457733E-4
C6H7N3,121.06399722399999,3,7.827175954915466E-5
C3H7N,57.057849223999995,49,0.0012784387393028596
C9H15NO2,169.11027872,2,5.2181173032769774E-5
C10H9NO3S,223.03031414799997,1,2.6090586516384887E-5
C10H16N2O,180.126263132,1,2.6090586516384887E-5
C13H12O3,216.07864424399997,1,2.6090586516384887E-5
C3H2S,69.987721064,1,2.6090586516384887E-5
CHFO,48.001142872,1,2.6090586516384887E-5
C2H7NO3S,125.014664084,3,7.827175954915466E-5
C12H17NO,191.131014164,1,2.6090586516384887E-5
C3H5NO2,87.0320284,7,1.8263410561469422E-4
C2H8N2O3S,140.025563116,1,2.6090586516384887E-5
C3H7NO4,121.03750770399999,1,2.6090586516384887E-5
C7H6,90.046950192,8,2.087246921310791E-4
C13H14O2,202.099379688,1,2.6090586516384887E-5
C6H11NS,129.061220352,1,2.6090586516384887E-5
C10H9N6OS,261.055854908,1,2.6090586516384887E-5
C6H4O3,124.01604398799999,2,5.2181173032769774E-5
C5H7N,81.057849224,16,4.174493842621582E-4
C18H20O3,284.14124449999997,1,2.6090586516384887E-5
C4H8O4,120.042258736,1,2.6090586516384887E-5
C14H10ClNO,243.04509162,1,2.6090586516384887E-5
C8H9N,119.073499288,3,7.827175954915466E-5
C17H20O,240.15141526,1,2.6090586516384887E-5
C7H5Cl,124.00797784,2,5.2181173032769774E-5
C2N2,52.006147999999996,8,2.087246921310791E-4
C12H21NO5,259.141972772,1,2.6090586516384887E-5
C7H3Cl,121.992327776,1,2.6090586516384887E-5
HNOS,62.977884652,5,1.3045293258192445E-4
C4HN,63.010899032,5,1.3045293258192445E-4
C5H6ClN,115.01887687199999,1,2.6090586516384887E-5
CH2S,45.987721064,5,1.3045293258192445E-4
C3FN,69.00147722,1,2.6090586516384887E-5
C6H8O2,112.052429496,2,5.2181173032769774E-5
CH4F2N2,82.034254568,1,2.6090586516384887E-5
CH2O4S,109.967379544,1,2.6090586516384887E-5
C2H2O2S,89.977550304,2,5.2181173032769774E-5
C5H8N4O,140.069810876,1,2.6090586516384887E-5
C8INO8,364.86686396,1,2.6090586516384887E-5
C7H9NS,139.045570288,1,2.6090586516384887E-5
C16H31NO5,317.220223092,1,2.6090586516384887E-5
C7H4O4,152.010958608,1,2.6090586516384887E-5
C15H11ClO4,290.034586512,1,2.6090586516384887E-5
H3N3,45.032697096,4,1.0436234606553955E-4
C7H10S,126.05032132,1,2.6090586516384887E-5
C10H9NO5,223.04807238799998,1,2.6090586516384887E-5
C10H8NO3S,222.022489116,1,2.6090586516384887E-5
C11H10O2,174.06807956,1,2.6090586516384887E-5
HBrCl,114.895014812,1,2.6090586516384887E-5
C2H2N2O,70.016712684,2,5.2181173032769774E-5
C9H10O2,150.06807956,3,7.827175954915466E-5
C6H3N3S2,180.976839096,1,2.6090586516384887E-5
C8H16O2,144.115029752,2,5.2181173032769774E-5
C22H26NO,320.201439452,1,2.6090586516384887E-5
C7H6O4S,185.998679672,1,2.6090586516384887E-5
C8H18N4O2,202.142975816,1,2.6090586516384887E-5
C8H2Cl2N2O,211.954418044,1,2.6090586516384887E-5
C2H6O2S,94.008850432,2,5.2181173032769774E-5
C6H9N3O,139.074561908,1,2.6090586516384887E-5
C8H3N,113.026549096,2,5.2181173032769774E-5
H3PS2,97.941378726,1,2.6090586516384887E-5
C2H6O,46.041864812,45,0.00117407639323732
C12H14O2,190.099379688,2,5.2181173032769774E-5
C3N2OS2,143.94520462,1,2.6090586516384887E-5
C9FN,141.00147722,1,2.6090586516384887E-5
H3O3P,81.98198058599999,8,2.087246921310791E-4
C9H14N2O2,182.105527688,1,2.6090586516384887E-5
C4H7NS,101.029920224,3,7.827175954915466E-5
