"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C8H6N2S","162.025169192","0.375","0.75","0.375","13.75","7.0"
"C9H6N2S2","205.997240192","0.44444445","0.6666667","0.44444445","16.25","8.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C9H8","116.062600256","0.0","0.8888889","0.0","11.25","6.0"
"C9H6","114.046950192","0.0","0.6666667","0.0","11.25","7.0"
"C10H11N","145.089149352","0.1","1.1","0.1","13.75","6.0"
"C11H8","140.062600256","0.0","0.72727275","0.0","13.75","8.0"
"C12H11N","169.089149352","0.083333336","0.9166667","0.083333336","16.25","8.0"
"C13H7Cl","198.023627904","0.07692308","0.53846157","0.07692308","17.5","10.0"
"C13H8","164.062600256","0.0","0.61538464","0.0","16.25","10.0"
"C13H9","165.070425288","0.0","0.6923077","0.0","16.25","9.5"
"C13H9Cl","200.039277968","0.07692308","0.6923077","0.07692308","17.5","9.0"
"C13H9","165.070425288","0.0","0.6923077","0.0","16.25","9.5"
"C14H9O","193.065339908","0.071428575","0.64285713","0.0","14.0","10.5"
"C13H8","164.062600256","0.0","0.61538464","0.0","16.25","10.0"
"C15H10","190.07825032","0.0","0.6666667","0.0","18.75","11.0"
"C8H6","102.046950192","0.0","0.75","0.0","10.0","6.0"
"C14H12","180.093900384","0.0","0.85714287","0.0","17.5","9.0"
"C7H4O","104.026214748","0.14285715","0.5714286","0.0","7.0","6.0"
"C9H6O","130.041864812","0.11111111","0.6666667","0.0","9.0","7.0"
"C15H12O","208.088815004","0.06666667","0.8","0.0","15.0","10.0"
"C6H6","78.046950192","0.0","1.0","0.0","7.5","4.0"
"C4H2","50.015650064","0.0","0.5","0.0","5.0","4.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H6O","106.041864812","0.14285715","0.85714287","0.0","7.0","5.0"
"C9H8O2","148.052429496","0.22222222","0.8888889","0.0","4.5","6.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C10H8O3","176.04734411599998","0.3","0.8","0.0","3.3333333","7.0"
"C13H13NS","215.076870416","0.15384616","1.0","0.15384616","18.75","8.0"
"C9H9N","131.073499288","0.11111111","1.0","0.11111111","12.5","6.0"
"C10H12N2","160.100048384","0.2","1.2","0.2","15.0","6.0"
"C9H7N","129.057849224","0.11111111","0.7777778","0.11111111","12.5","7.0"
"C12H16N2","188.131348512","0.16666667","1.3333334","0.16666667","17.5","6.0"
"C9H8N","130.065674256","0.11111111","0.8888889","0.11111111","12.5","6.5"
"C12H17N2","189.139173544","0.16666667","1.4166666","0.16666667","17.5","5.5"
"C8H7N","117.057849224","0.125","0.875","0.125","11.25","6.0"
"C4H8N","70.065674256","0.25","2.0","0.25","6.25","1.5"
"C6H10N","96.08132432","0.16666667","1.6666666","0.16666667","8.75","2.5"
"C4H7N","69.057849224","0.25","1.75","0.25","6.25","2.0"
"C6H9N","95.073499288","0.16666667","1.5","0.16666667","8.75","3.0"
"C3H5N","55.042199159999996","0.33333334","1.6666666","0.33333334","5.0","2.0"
"C5H7N","81.057849224","0.2","1.4","0.2","7.5","3.0"
"C5H8","68.062600256","0.0","1.6","0.0","6.25","2.0"
"C4H4","52.031300128","0.0","1.0","0.0","5.0","3.0"
"C4H6","54.046950192","0.0","1.5","0.0","5.0","2.0"
"C6H11N","97.08914935199999","0.16666667","1.8333334","0.16666667","8.75","2.0"
"C10H11N","145.089149352","0.1","1.1","0.1","13.75","6.0"
"C11H14N2","174.115698448","0.18181819","1.2727273","0.18181819","16.25","6.0"
"C3S","67.972071","0.33333334","0.0","0.33333334","5.0","4.0"
"C5H4S","96.003371128","0.2","0.8","0.2","7.5","4.0"
