"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C7H9FN3","154.078050508","0.5714286","1.2857143","0.5714286","13.75","4.5"
"C6H7FN3","140.062400444","0.6666667","1.1666666","0.6666667","12.5","4.5"
"C5H5FN3","126.04675037999999","0.8","1.0","0.8","11.25","4.5"
"C2H5FN3O2","122.03657962","3.0","2.5","2.0","3.0","1.5"
"C8H11FN3O2","200.083529812","0.75","1.375","0.5","6.0","4.5"
"C6H7FN3O","156.057315064","0.8333333","1.1666666","0.6666667","10.0","4.5"
"C9H13FN3O3","230.09409449599997","0.7777778","1.4444444","0.44444445","4.3333335","4.5"
"C4H7F2N3O3","183.04554752399997","2.0","1.75","1.25","3.0","2.0"
"C4H8F2N3O3","184.053372556","2.0","2.0","1.25","3.0","1.5"
"C5H8F2N3O2","180.058457936","1.4","1.6","1.0","5.0","2.5"
"C6H10F2N3O3","210.06902262","1.3333334","1.6666666","0.8333333","3.6666667","2.5"
"C9H19F2N4O3","269.142521908","1.0","2.1111112","0.6666667","5.0","1.5"
"C4H8F2N3O2","168.058457936","1.75","2.0","1.25","4.5","1.5"
"C6H12F2N3O4","228.07958730399997","1.5","2.0","0.8333333","2.75","1.5"
"C11H3FN2O","198.022940936","0.36363637","0.27272728","0.27272728","14.0","11.0"
"C11H5FN2O","200.038591","0.36363637","0.45454547","0.27272728","14.0","10.0"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C8H8FN3","165.070225476","0.5","1.0","0.5","15.0","6.0"
"C7H6FN3OP","198.023251662","0.85714287","0.85714287","0.71428573","12.0","6.5"
"C7H8FN3OP","200.038901726","0.85714287","1.1428572","0.71428573","12.0","5.5"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C4H11FN4P","165.07053620200003","1.5","2.75","1.5","12.5","1.5"
"C12H7OP","198.023451474","0.16666667","0.5833333","0.083333336","13.0","10.0"
"C12H9OP","200.039101538","0.16666667","0.75","0.083333336","13.0","9.0"
"C9H12NP","165.07073601399998","0.22222222","1.3333334","0.22222222","13.75","5.0"
"C6H2F2N5O","198.02274112400002","1.3333334","0.33333334","1.1666666","13.0","7.5"
"C6H4F2N5O","200.03839118800002","1.3333334","0.6666667","1.1666666","13.0","6.5"
"C3H6F2N6","164.06220063199999","2.6666667","2.0","2.6666667","13.75","3.0"
"C3H7F2N6","165.070025664","2.6666667","2.3333333","2.6666667","13.75","2.5"
"C8H10NOP2","198.0237622","0.5","1.25","0.375","11.0","5.5"
"C8H12NOP2","200.039412264","0.5","1.5","0.375","11.0","4.5"
"C9H11NP","164.062910982","0.22222222","1.2222222","0.22222222","13.75","5.5"
"C5H15N2P2","165.07104673999999","0.8","3.0","0.8","11.25","0.5"
"C8H4F2N2O2","198.024083808","0.75","0.5","0.5","6.0","7.0"
"C8H6F2N2O2","200.039733872","0.75","0.75","0.5","6.0","6.0"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C8H8FN3","165.070225476","0.5","1.0","0.5","15.0","6.0"
"C8H6ClFN3","198.023428092","0.625","0.75","0.625","16.25","6.5"
"C8H8ClFN3","200.039078156","0.625","1.0","0.625","16.25","5.5"
"C8H8FN3","165.070225476","0.5","1.0","0.5","15.0","6.0"
"C9H8FN3O","193.065140096","0.5555556","0.8888889","0.44444445","13.0","7.0"
"C8H7FN3","164.062400444","0.5","0.875","0.5","15.0","6.5"
"C10H9FN3","190.078050508","0.4","0.9","0.4","17.5","7.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C9H11FN3","180.093700572","0.44444445","1.2222222","0.44444445","16.25","5.5"
"C2H3FN3O","104.026014936","2.5","1.5","2.0","6.0","2.5"
"C4H5FN3O","130.041665","1.25","1.25","1.0","8.0","3.5"
"C10H11FN3O","208.088615192","0.5","1.1","0.4","14.0","6.5"
"CH5FN3","78.04675037999999","4.0","5.0","4.0","6.25","0.5"
"CH3FN3","76.03110031599999","4.0","3.0","4.0","6.25","1.5"
"C2H5FN3O","106.041665","2.5","2.5","2.0","6.0","1.5"
"C4H7FN3O2","148.052229684","1.5","1.75","1.0","4.0","2.5"
"C2H5FN3","90.04675037999999","2.0","2.5","2.0","7.5","1.5"
"C5H7FN3O3","176.04714430399997","1.4","1.4","0.8","3.0","3.5"
"C8H12FN4S","215.076670604","0.75","1.5","0.75","17.5","4.5"
"C4H6FN4","129.057649412","1.25","1.5","1.25","11.25","3.5"
"C3H6FN4","117.05764941199999","1.6666666","2.0","1.6666666","10.0","2.5"
"C5H10FN4","145.08894954","1.0","2.0","1.0","12.5","2.5"
"C6H13FN5","174.11549863599998","1.0","2.1666667","1.0","15.0","2.5"
"H3FN3S","96.00317131599999","6.25","3.75","6.25","6.25","0.5"
"C3H5NNaP4","201.92701495999998","2.0","1.6666666","2.0","11.25","3.5"
"C4H5NNaOP4","229.92192957999998","1.75","1.25","1.5","10.0","4.5"
"C2H6NP","75.02378582200001","1.0","3.0","1.0","5.0","1.0"
"C3H6NOP","103.018700442","1.0","2.0","0.6666667","5.0","2.0"
"C3H7NOP","104.026525474","1.0","2.3333333","0.6666667","5.0","1.5"
"C2H8N2P","91.04250988599999","1.5","4.0","1.5","6.25","0.5"
"C2H7NP","76.03161085400001","1.0","3.5","1.0","5.0","0.5"
"C3H8N2OP","119.037424506","1.3333334","2.6666667","1.0","6.0","1.5"
"C4H3FNaOP3","201.92784710599997","1.5","0.75","1.25","9.0","4.0"
"C5H3FNaO2P3","229.922761726","1.4","0.6","1.0","5.0","5.0"
"C3NaO7P","201.92793325","3.0","0.0","0.6666667","0.71428573","4.0"
"C4NaO8P","229.92284786999997","2.5","0.0","0.5","0.75","5.0"
"C12H13FN4O3","280.097168496","0.6666667","1.0833334","0.41666666","5.6666665","8.0"
"C12H11FN4O2","262.086603812","0.5833333","0.9166667","0.41666666","8.5","9.0"
"C13H13FN4O4","308.09208311599997","0.6923077","1.0","0.3846154","4.5","9.0"
"C5H5FN4O","156.044739","1.2","1.0","1.0","10.0","5.0"
"C11H11FN4O","234.091689192","0.54545456","1.0","0.45454547","16.0","8.0"
"C13H15FN4O3","294.11281856","0.61538464","1.1538461","0.3846154","6.0","8.0"
"C11H11FN4O2","250.086603812","0.6363636","1.0","0.45454547","8.0","8.0"
"C5H7FN4O","158.060389064","1.2","1.4","1.0","10.0","4.0"
"C5H5FN4","140.04982438","1.0","1.0","1.0","12.5","5.0"
"C6H7FN4O2","186.055303684","1.1666666","1.1666666","0.8333333","5.5","5.0"
"C5H3FN4O","154.029088936","1.2","0.6","1.0","10.0","6.0"
"C6H7FN4O","170.060389064","1.0","1.1666666","0.8333333","11.0","5.0"
"C4H6FN3O2","147.044404652","1.5","1.5","1.0","4.0","3.0"
"C7H11FN4O2","202.086603812","1.0","1.5714285","0.71428573","6.0","4.0"
"C14H17FN4O4","324.12338324399997","0.64285713","1.2142857","0.35714287","4.75","8.0"
"C14H14FN4O4","321.099908148","0.64285713","1.0","0.35714287","4.75","9.5"
"C13H12FN4O4","307.084258084","0.6923077","0.9230769","0.3846154","4.5","9.5"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C5H6FN4O","157.052564032","1.2","1.2","1.0","10.0","4.5"
"C5H4FN4O","155.036913968","1.2","0.8","1.0","10.0","5.5"
"C5H4FN4","139.041999348","1.0","0.8","1.0","12.5","5.5"
"C6H6FN4O2","185.047478652","1.1666666","1.0","0.8333333","5.5","5.5"
"C6H6FN4O","169.052564032","1.0","1.0","0.8333333","11.0","5.5"
"C4H6FN4","129.057649412","1.25","1.5","1.25","11.25","3.5"
"C6H8FN4O","171.068214096","1.0","1.3333334","0.8333333","11.0","4.5"
"C5H6FN4","141.057649412","1.0","1.2","1.0","12.5","4.5"
"C4H4FN4","127.04199934799999","1.25","1.0","1.25","11.25","4.5"
"C7H10FN4O2","201.07877878","1.0","1.4285715","0.71428573","6.0","4.5"
"C13H16FN4O3","295.12064359199996","0.61538464","1.2307693","0.3846154","6.0","7.5"
"C11H12FN4O2","251.094428844","0.6363636","1.0909091","0.45454547","8.0","7.5"
"C11H10NO2","188.07115356","0.27272728","0.90909094","0.09090909","6.0","7.5"
"C8H8N3","146.071822256","0.375","1.0","0.375","13.75","6.5"
"C7H6N3","132.056172192","0.42857143","0.85714287","0.42857143","12.5","6.5"
"C9H8N3O","174.066736876","0.44444445","0.8888889","0.33333334","12.0","7.5"
"C12H14N3O3","248.103516308","0.5","1.1666666","0.25","5.0","7.5"
"C13H14FN4O3","293.10499352799997","0.61538464","1.0769231","0.3846154","6.0","8.5"
"C10H12FN4O2","239.094428844","0.7","1.2","0.5","7.5","6.5"
"C12H14FN4O3","281.10499352799997","0.6666667","1.1666666","0.41666666","5.6666665","7.5"
"C12H12FN4O2","263.094428844","0.5833333","1.0","0.41666666","8.5","8.5"
"C11H10FN4O2","249.07877878","0.6363636","0.90909094","0.45454547","8.0","8.5"
"C14H16FN4O4","323.115558212","0.64285713","1.1428572","0.35714287","4.75","8.5"
"C13H12FN4O3","291.08934346399997","0.61538464","0.9230769","0.3846154","6.0","9.5"
"C12H12FN4O3","279.08934346399997","0.6666667","1.0","0.41666666","5.6666665","8.5"
"C13H14FN4O4","309.099908148","0.6923077","1.0769231","0.3846154","4.5","8.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C5H7FN3O","144.057315064","1.0","1.4","0.8","9.0","3.5"
"C6H8FN4O2","187.063128716","1.1666666","1.3333334","0.8333333","5.5","4.5"
"C12H14FN4O2","265.110078908","0.5833333","1.1666666","0.41666666","8.5","7.5"
"C8H16FN5O3P","280.097479222","1.25","2.0","0.875","5.0","3.5"
"C8H14FN5O2P","262.08691453800003","1.125","1.75","0.875","7.5","4.5"
"C9H16FN5O4P","308.09239384200004","1.2222222","1.7777778","0.7777778","4.0","4.5"
"CH6FN5OP","154.029399662","8.0","6.0","7.0","8.0","1.5"
"CH8FN5OP","156.045049726","8.0","8.0","7.0","8.0","0.5"
"C7H14FN5OP","234.091999918","1.1428572","2.0","1.0","14.0","3.5"
"C9H18FN5O3P","294.113129286","1.1111112","2.0","0.7777778","5.3333335","3.5"
"C7H14FN5O2P","250.08691453800003","1.2857143","2.0","1.0","7.0","3.5"
"C10H20FN5O4P","324.12369397000003","1.1","2.0","0.7","4.25","3.5"
"C10H17FN5O4P","321.100218874","1.1","1.7","0.7","4.25","5.0"
"C9H15FN5O4P","307.08456881","1.2222222","1.6666666","0.7777778","4.0","5.0"
"C9H19FN5O3P","295.120954318","1.1111112","2.1111112","0.7777778","5.3333335","3.0"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C5H6FN4O","157.052564032","1.2","1.2","1.0","10.0","4.5"
"C5H4FN4O","155.036913968","1.2","0.8","1.0","10.0","5.5"
"C5H4FN4","139.041999348","1.0","0.8","1.0","12.5","5.5"
"C6H6FN4O2","185.047478652","1.1666666","1.0","0.8333333","5.5","5.5"
"C6H6FN4O","169.052564032","1.0","1.0","0.8333333","11.0","5.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C4H6FN4","129.057649412","1.25","1.5","1.25","11.25","3.5"
"C6H8FN4O","171.068214096","1.0","1.3333334","0.8333333","11.0","4.5"
"C5H6FN4","141.057649412","1.0","1.2","1.0","12.5","4.5"
"C4H4FN4","127.04199934799999","1.25","1.0","1.25","11.25","4.5"
"C7H10FN4O2","201.07877878","1.0","1.4285715","0.71428573","6.0","4.5"
"C5H7FN4O","158.060389064","1.2","1.4","1.0","10.0","4.0"
"C5H5FN4","140.04982438","1.0","1.0","1.0","12.5","5.0"
"C6H7FN4O2","186.055303684","1.1666666","1.1666666","0.8333333","5.5","5.0"
"C6H7FN4O","170.060389064","1.0","1.1666666","0.8333333","11.0","5.0"
"C4H6FN3O2","147.044404652","1.5","1.5","1.0","4.0","3.0"
"C7H11FN4O2","202.086603812","1.0","1.5714285","0.71428573","6.0","4.0"
"C7H15FN5O2P","251.09473957","1.2857143","2.142857","1.0","7.0","3.0"
"C7H13N2O2P","188.07146428599998","0.71428573","1.8571428","0.42857143","5.0","3.0"
"C4H11N4P","146.072132982","1.25","2.75","1.25","11.25","2.0"
"C4H9N4P","144.05648291799997","1.25","2.25","1.25","11.25","3.0"
"C3H9N4P","132.05648291799997","1.6666666","3.0","1.6666666","10.0","2.0"
"C5H11N4OP","174.067047602","1.2","2.2","1.0","10.0","3.0"
"C8H17N4O3P","248.103827034","1.0","2.125","0.625","4.3333335","3.0"
"C9H17FN5O3P","293.105304254","1.1111112","1.8888888","0.7777778","5.3333335","4.0"
"C6H15FN5O2P","239.09473957","1.5","2.5","1.1666666","6.5","2.0"
"C8H17FN5O3P","281.105304254","1.25","2.125","0.875","5.0","3.0"
"C8H15FN5O2P","263.09473957","1.125","1.875","0.875","7.5","4.0"
"C7H13FN5O2P","249.079089506","1.2857143","1.8571428","1.0","7.0","4.0"
"C10H19FN5O4P","323.115868938","1.1","1.9","0.7","4.25","4.0"
"C9H15FN5O3P","291.08965419","1.1111112","1.6666666","0.7777778","5.3333335","5.0"
"C8H15FN5O3P","279.08965419","1.25","1.875","0.875","5.0","4.0"
"C9H17FN5O4P","309.100218874","1.2222222","1.8888888","0.7777778","4.0","4.0"
"C2H11FN5O2P","187.063439442","4.5","5.5","3.5","4.5","0.0"
"C8H17FN5O2P","265.110389634","1.125","2.125","0.875","7.5","3.0"
"C7H12F2N7O3","280.096968684","1.7142857","1.7142857","1.2857143","5.3333335","4.5"
"C7H10F2N7O2","262.086404","1.5714285","1.4285715","1.2857143","8.0","5.5"
"C8H12F2N7O4","308.091883304","1.625","1.5","1.125","4.25","5.5"
"H4F2N7O","156.044539188","12.5","5.0","11.25","9.0","1.5"
"C6H10F2N7O","234.09148938","1.6666666","1.6666666","1.5","15.0","4.5"
"C8H14F2N7O3","294.112618748","1.5","1.75","1.125","5.6666665","4.5"
"C6H10F2N7O2","250.08640400000002","1.8333334","1.6666666","1.5","7.5","4.5"
"C9H16F2N7O4","324.123183432","1.4444444","1.7777778","1.0","4.5","4.5"
"C9H13F2N7O4","321.099708336","1.4444444","1.4444444","1.0","4.5","6.0"
"C8H11F2N7O4","307.084058272","1.625","1.375","1.125","4.25","6.0"
"C8H15F2N7O3","295.12044377999996","1.5","1.875","1.125","5.6666665","4.0"
"C6H11F2N7O2","251.094229032","1.8333334","1.8333334","1.5","7.5","4.0"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C5H6FN4O","157.052564032","1.2","1.2","1.0","10.0","4.5"
"C5H4FN4O","155.036913968","1.2","0.8","1.0","10.0","5.5"
"C5H4FN4","139.041999348","1.0","0.8","1.0","12.5","5.5"
"C6H6FN4O2","185.047478652","1.1666666","1.0","0.8333333","5.5","5.5"
"C6H6FN4O","169.052564032","1.0","1.0","0.8333333","11.0","5.5"
"C4H6FN4","129.057649412","1.25","1.5","1.25","11.25","3.5"
"C3H5FN3","102.04675037999999","1.3333334","1.6666666","1.3333334","8.75","2.5"
"C6H8FN4O","171.068214096","1.0","1.3333334","0.8333333","11.0","4.5"
"C4H4FN4","127.04199934799999","1.25","1.0","1.25","11.25","4.5"
"C5H6FN4","141.057649412","1.0","1.2","1.0","12.5","4.5"
"C7H10FN4O2","201.07877878","1.0","1.4285715","0.71428573","6.0","4.5"
"C5H7FN4O","158.060389064","1.2","1.4","1.0","10.0","4.0"
"C5H5FN4","140.04982438","1.0","1.0","1.0","12.5","5.0"
"C6H7FN4O2","186.055303684","1.1666666","1.1666666","0.8333333","5.5","5.0"
"C5H3FN4O","154.029088936","1.2","0.6","1.0","10.0","6.0"
"C6H7FN4O","170.060389064","1.0","1.1666666","0.8333333","11.0","5.0"
"C4H6FN3O2","147.044404652","1.5","1.5","1.0","4.0","3.0"
"C7H11FN4O2","202.086603812","1.0","1.5714285","0.71428573","6.0","4.0"
"C6H9FN4O2","188.070953748","1.1666666","1.5","0.8333333","5.5","4.0"
"C3H7FN6","146.071622444","2.3333333","2.3333333","2.3333333","12.5","3.0"
"C2H5FN6","132.05597238000001","3.5","2.5","3.5","11.25","3.0"
"C4H7FN6O","174.06653706400002","2.0","1.75","1.75","11.0","4.0"
"C7H13FN6O3","248.103316496","1.4285715","1.8571428","1.0","4.6666665","4.0"
"C8H13F2N7O3","293.10479371599996","1.5","1.625","1.125","5.6666665","5.0"
"C5H11F2N7O2","239.094229032","2.2","2.2","1.8","7.0","3.0"
"C7H13F2N7O3","281.10479371599996","1.7142857","1.8571428","1.2857143","5.3333335","4.0"
"C7H11F2N7O2","263.094229032","1.5714285","1.5714285","1.2857143","8.0","5.0"
"C6H9F2N7O2","249.078578968","1.8333334","1.5","1.5","7.5","5.0"
"C9H15F2N7O4","323.1153584","1.4444444","1.6666666","1.0","4.5","5.0"
"C8H11F2N7O3","291.08914365199996","1.5","1.375","1.125","5.6666665","6.0"
"C7H11F2N7O3","279.08914365199996","1.7142857","1.5714285","1.2857143","5.3333335","5.0"
"C8H13F2N7O4","309.099708336","1.625","1.625","1.125","4.25","5.0"
"H6F2N6O","144.05711525200002","11.25","7.5","10.0","8.0","0.0"
"CH7F2N7O2","187.062928904","11.0","7.0","9.0","5.0","1.0"
"C7H13F2N7O2","265.109879096","1.5714285","1.8571428","1.2857143","8.0","4.0"
"C2H2FO2S","108.975953524","2.0","1.0","1.0","2.0","1.5"
"CFO2","62.98823246","3.0","0.0","1.0","1.0","1.5"
"C2H2FO3","92.998797144","2.0","1.0","0.5","1.0","1.5"
"CFO3","78.98314708","4.0","0.0","1.0","0.6666667","1.5"
"C4H2FNaS","123.975893564","0.75","0.5","0.75","8.75","3.0"
"C3HFNNa","92.999071532","1.0","0.33333334","1.0","7.5","3.0"
"C3FNa","77.9881725","0.6666667","0.0","0.6666667","6.25","3.0"
"C11H2NNaO3P6","404.835806984","1.0","0.18181819","0.72727275","6.3333335","14.0"
