"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C9H14F2N2O11","364.056565708","1.6666666","1.5555556","0.44444445","1.1818181","3.0"
"C10H18FN3O7","311.11287813599995","1.1","1.8","0.4","2.0","3.0"
"C11H21F2N3O12","425.10932955199996","1.5454545","1.9090909","0.45454547","1.3333334","2.0"
"C9H11FN2O6","262.060114292","1.0","1.2222222","0.33333334","2.0","5.0"
"C10H11FN2O8","306.049943532","1.1","1.1","0.3","1.625","6.0"
"C7H11FN2O5","222.065199672","1.1428572","1.5714285","0.42857143","2.0","3.0"
"C8H11FN2O7","266.055028912","1.25","1.375","0.375","1.5714285","4.0"
"C9H11FN2O8","294.049943532","1.2222222","1.2222222","0.33333334","1.5","5.0"
"C6H9FN2O7","240.03937884799998","1.6666666","1.5","0.5","1.2857143","3.0"
"C4H9FN2O6","200.04446422799998","2.25","2.25","0.75","1.1666666","1.0"
"C6H11FN2O6","226.06011429199998","1.5","1.8333334","0.5","1.5","2.0"
"C5H9FN2O5","196.049549608","1.6","1.8","0.6","1.6","2.0"
"C8H11FN2O8","282.049943532","1.375","1.375","0.375","1.375","4.0"
"C7H8FNO5","205.038650576","1.0","1.1428572","0.2857143","1.8","4.0"
"C8H11FN2O5","234.065199672","1.0","1.375","0.375","2.2","4.0"
"C9H11FN2O7","278.055028912","1.1111112","1.2222222","0.33333334","1.7142857","5.0"
"C6H11FN2O4","194.07028505199997","1.1666666","1.8333334","0.5","2.25","2.0"
"C7H11FN2O6","238.06011429199998","1.2857143","1.5714285","0.42857143","1.6666666","3.0"
"C10H13FN2O9","324.060508216","1.2","1.3","0.3","1.4444444","5.0"
"C2H7FN2O3","126.044070304","3.0","3.5","1.5","1.6666666","0.0"
"C5H9FN2O6","212.04446422799998","1.8","1.8","0.6","1.3333334","2.0"
"C3H9FN2O5","172.049549608","2.6666667","3.0","1.0","1.2","0.0"
"C3H7FN2O4","154.03898492399998","2.3333333","2.3333333","1.0","1.5","1.0"
"C6H11FN2O8","258.049943532","1.8333334","1.8333334","0.5","1.125","2.0"
"C8H13FN2O8","284.065593596","1.375","1.625","0.375","1.375","3.0"
"C10H15FN2O12","374.06090213999994","1.5","1.5","0.3","1.0833334","4.0"
"C10H17FN2O13","392.07146682399997","1.6","1.7","0.3","1.0","3.0"
"C10H20FN2O12","379.10002729999997","1.5","2.0","0.3","1.0833334","1.5"
"C10H16FN2O12","375.06872717199997","1.5","1.6","0.3","1.0833334","3.5"
"C6H10FN2O7","241.04720387999998","1.6666666","1.6666666","0.5","1.2857143","2.5"
"C3H5FNO4","138.02026086","2.0","1.6666666","0.6666667","1.25","1.5"
"C4H8FN2O5","183.04172457599998","2.0","2.0","0.75","1.4","1.5"
"C7H10FN2O8","269.0421185","1.5714285","1.4285715","0.42857143","1.25","3.5"
"C5H8FN2O6","211.03663919599998","1.8","1.6","0.6","1.3333334","2.5"
"C3H10FN2O5","173.05737463999998","2.6666667","3.3333333","1.0","1.2","-0.5"
"C6H10FN2O8","257.0421185","1.8333334","1.6666666","0.5","1.125","2.5"
"C10H18FN2O11","361.089462616","1.4","1.8","0.3","1.1818181","2.5"
"C7H15FNO11","308.06291352","1.8571428","2.142857","0.2857143","0.8181818","0.5"
"C8H15FNO13","352.05274276","1.875","1.875","0.25","0.7692308","1.5"
"C11H20FN2O13","407.09494192","1.4545455","1.8181819","0.27272728","1.0769231","2.5"
"C11H23F2N3O13","443.11989423599994","1.6363636","2.090909","0.45454547","1.2307693","1.0"
"C4H10F2N4O8","280.04666971999995","3.5","2.5","1.5","1.25","1.0"
"C2N3O","82.00413662","2.0","0.0","1.5","5.0","4.5"
"C4H2N3O2","124.014701304","1.25","0.5","0.75","3.5","5.5"
"C4N3O2","121.99905124","1.25","0.0","0.75","3.5","6.5"
"C2H3N4","83.03577109599999","2.0","1.5","2.0","7.5","3.5"
"C4H2N3O","108.019786684","1.0","0.5","0.75","7.0","5.5"
"CN3","54.009222","3.0","0.0","3.0","5.0","3.5"
"CH3N4","71.035771096","4.0","3.0","4.0","6.25","2.5"
"C3H5N4","97.05142115999999","1.3333334","1.6666666","1.3333334","8.75","3.5"
"C4H5N4O","125.04633577999999","1.25","1.25","1.0","8.0","4.5"
"C5H5N4O2","153.0412504","1.2","1.0","0.8","4.5","5.5"
"C11H24F2N4O12","442.13587864799996","1.6363636","2.1818182","0.54545456","1.4166666","1.0"
"C12H3N9O3","321.03588495599996","1.0","0.25","0.75","7.0","16.0"
"C12HN9O3","319.02023489199996","1.0","0.083333336","0.75","7.0","17.0"
"C13H3N9O4","349.030799576","1.0","0.23076923","0.6923077","5.5","17.0"
"C5H6N8O4","242.051200672","2.4","1.2","1.6","3.25","7.0"
"C3N6O2","152.00827324","2.6666667","0.0","2.0","4.5","7.0"
"C6H5N7O2","207.0504724","1.5","0.8333333","1.1666666","6.5","8.0"
"C4H5N7","151.06064315999998","1.75","1.25","1.75","13.75","6.0"
"C5H7N7O2","197.066122464","1.8","1.4","1.4","6.0","6.0"
"CN6","96.018444","6.0","0.0","6.0","8.75","5.0"
"C2H3N7","125.044993096","3.5","1.5","3.5","11.25","5.0"
"C3N6O","136.01335862","2.3333333","0.0","2.0","9.0","7.0"
"C3H3N7O","153.039907716","2.6666667","1.0","2.3333333","10.0","6.0"
"C5H5N7O","179.05555778","1.6","1.0","1.4","12.0","7.0"
"C6H7N7O3","225.06103708399996","1.6666666","1.1666666","1.1666666","4.3333335","7.0"
"C4H4N8","164.05589212799998","2.0","1.0","2.0","15.0","7.0"
"C7H8N8O4","268.066850736","1.7142857","1.1428572","1.1428572","3.75","8.0"
"C15H8N10O4","392.07299873600005","0.93333334","0.53333336","0.6666667","6.25","17.0"
"C15H7N10O3","375.070259084","0.8666667","0.46666667","0.6666667","8.333333","17.5"
"C10H4N9O2","282.048795368","1.1","0.4","0.9","9.5","13.5"
"C11H4N9","262.058966128","0.8181818","0.36363637","0.8181818","25.0","14.5"
"C12H6N9O2","308.064445432","0.9166667","0.5","0.75","10.5","14.5"
"C13H6N9O4","352.054274672","1.0","0.46153846","0.6923077","5.5","15.5"
"C16H11N10O4","407.096473832","0.875","0.6875","0.625","6.5","16.5"
"C9H4N9O","254.053880748","1.1111112","0.44444445","1.0","18.0","12.5"
"C10H6N9O2","284.064445432","1.1","0.6","0.9","9.5","12.5"
"C15H11N10O3","379.101559212","0.8666667","0.73333335","0.6666667","8.333333","15.5"
"C9HN9O","251.03040565199998","1.1111112","0.11111111","1.0","18.0","14.0"
"C9H3N9O","253.04605571599998","1.1111112","0.33333334","1.0","18.0","13.0"
"C11H8N10O","296.088254876","1.0","0.72727275","0.90909094","21.0","13.0"
"C12H11N10O","311.111729972","0.9166667","0.9166667","0.8333333","22.0","12.5"
"C16H13N10O5","425.107038516","0.9375","0.8125","0.625","5.2","15.5"
"C12H8N9O6","374.059753976","1.25","0.6666667","0.75","3.5","13.5"
"C10H5N6O2","241.04739840000002","0.8","0.5","0.6","8.0","11.5"
"C8H3N6","183.04191909600002","0.75","0.375","0.75","17.5","10.5"
"C11H5N6O3","269.04231302","0.8181818","0.45454547","0.54545456","5.6666665","12.5"
"C11H2NO2","180.008553304","0.27272728","0.18181819","0.09090909","6.0","11.5"
"C12H6N3O3","240.040916052","0.5","0.5","0.25","5.0","11.5"
"C2N3O","82.00413662","2.0","0.0","1.5","5.0","4.5"
"C4N3O2","121.99905124","1.25","0.0","0.75","3.5","6.5"
"C4H2N3O2","124.014701304","1.25","0.5","0.75","3.5","5.5"
"C10H8N3O2","202.061651496","0.5","0.8","0.3","6.5","8.5"
"C12H8N3O4","258.051480736","0.5833333","0.6666667","0.25","3.75","10.5"
"C9H3N6O","211.03683371600002","0.7777778","0.33333334","0.6666667","15.0","11.5"
"CN3","54.009222","3.0","0.0","3.0","5.0","3.5"
"CH3N4","71.035771096","4.0","3.0","4.0","6.25","2.5"
"C3H5N4","97.05142115999999","1.3333334","1.6666666","1.3333334","8.75","3.5"
"C2H3N4","83.03577109599999","2.0","1.5","2.0","7.5","3.5"
"C2H5N4","85.05142115999999","2.0","2.5","2.0","7.5","2.5"
"C7H5N6","173.05756916","0.85714287","0.71428573","0.85714287","16.25","8.5"
"C10H5N6O3","257.04231302","0.9","0.5","0.6","5.3333335","11.5"
"C14H13N6O6","361.089657136","0.85714287","0.9285714","0.42857143","3.3333333","11.5"
"C13H6N5O3","280.047064052","0.61538464","0.46153846","0.3846154","6.0","13.5"
"C16H15N10O6","443.11760319999996","1.0","0.9375","0.625","4.3333335","14.5"
"C16H16N11O5","442.133587612","1.0","1.0","0.6875","5.4","14.5"
"C15H4N6O3","316.03448798799997","0.6","0.26666668","0.4","7.0","17.0"
"C16H6N6O5","362.039967292","0.6875","0.375","0.375","4.4","17.0"
"C14H6N6O3","306.05013805199997","0.64285713","0.42857143","0.42857143","6.6666665","15.0"
"C15H5N3O4","291.02800564","0.46666667","0.33333334","0.2","4.5","15.0"
"C12H5N3O3","239.03309101999997","0.5","0.41666666","0.25","5.0","12.0"
"C13H5N3O4","267.02800564","0.53846157","0.3846154","0.23076923","4.0","13.0"
"C14H7N3O3","265.04874108399997","0.42857143","0.5","0.21428572","5.6666665","13.0"
"C15H7N3O4","293.043655704","0.46666667","0.46666667","0.2","4.5","14.0"
"C14H6N6O2","290.055223432","0.5714286","0.42857143","0.42857143","10.0","15.0"
"C12H6N6O","250.060308812","0.5833333","0.5","0.5","18.0","13.0"
"C15H8N6O4","336.060702736","0.6666667","0.53333336","0.4","5.25","15.0"
"C14H4N6O2","288.039573368","0.5714286","0.2857143","0.42857143","10.0","16.0"
"C15H6N6O4","334.045052672","0.6666667","0.4","0.4","5.25","16.0"
"C11H6N6","222.06539419199999","0.54545456","0.54545456","0.54545456","21.25","12.0"
"C12H6N6O2","266.055223432","0.6666667","0.5","0.5","9.0","13.0"
"C13H6N6O3","294.05013805199997","0.6923077","0.46153846","0.46153846","6.3333335","14.0"
"C16H8N6O6","380.050531976","0.75","0.5","0.375","3.6666667","16.0"
"C15H6N6O3","318.05013805199997","0.6","0.4","0.4","7.0","16.0"
"C11H3N5","205.038845096","0.45454547","0.27272728","0.45454547","20.0","13.0"
"C12H6N6","234.06539419199999","0.5","0.5","0.5","22.5","13.0"
"C13H6N6O2","278.055223432","0.61538464","0.46153846","0.46153846","9.5","14.0"
"C16H8N6O5","364.05561735599997","0.6875","0.5","0.375","4.4","16.0"
"C7H4N6","172.049744128","0.85714287","0.5714286","0.85714287","16.25","9.0"
"C8H4N6O","200.044658748","0.875","0.5","0.75","14.0","10.0"
"C10H6N6O","226.060308812","0.7","0.6","0.6","16.0","11.0"
"C9H4N6O","212.044658748","0.7777778","0.44444445","0.6666667","15.0","11.0"
"C2N6","108.018444","3.0","0.0","3.0","10.0","6.0"
"C8H6N6","186.06539419199999","0.75","0.75","0.75","17.5","9.0"
"C11H8N6O3","272.06578811599996","0.8181818","0.72727275","0.54545456","5.6666665","11.0"
"C16H11N7O6","397.07708107199994","0.8125","0.6875","0.4375","3.8333333","15.0"
"C7H6N11O3","292.065508052","2.0","0.85714287","1.5714285","6.0","10.5"
"C14H19F2N4O9","425.112009628","1.0714285","1.3571428","0.42857143","2.2222223","6.5"
"C10H10FN2O9","321.03703312","1.2","1.0","0.3","1.4444444","6.5"
"C10H8FN2O9","319.021383056","1.2","0.8","0.3","1.4444444","7.5"
"C11H10FN2O10","349.03194773999996","1.1818181","0.90909094","0.27272728","1.4","7.5"
"C4N3O2","121.99905124","1.25","0.0","0.75","3.5","6.5"
"C2N3O","82.00413662","2.0","0.0","1.5","5.0","4.5"
"C4H2N3O2","124.014701304","1.25","0.5","0.75","3.5","5.5"
"C10H8N3O2","202.061651496","0.5","0.8","0.3","6.5","8.5"
"C12H14N3O6","296.088260168","0.75","1.1666666","0.25","2.5","7.5"
"C9H11FNO8","280.04686953199996","1.1111112","1.2222222","0.22222222","1.375","4.5"
"C6H10FN2O7","241.04720387999998","1.6666666","1.6666666","0.5","1.2857143","2.5"
"C3H5FNO4","138.02026086","2.0","1.6666666","0.6666667","1.25","1.5"
"C4H8FN2O5","183.04172457599998","2.0","2.0","0.75","1.4","1.5"
"C7H10FN2O8","269.0421185","1.5714285","1.4285715","0.42857143","1.25","3.5"
"C8H3FNO3","180.00969617599998","0.625","0.375","0.25","3.3333333","7.5"
"C9H7FN3O4","240.042058924","0.8888889","0.7777778","0.44444445","3.25","7.5"
"C13H15FN3O10","392.07414689999996","1.0769231","1.1538461","0.30769232","1.7","7.5"
"C13H14FN3O9","375.071407248","1.0","1.0769231","0.30769232","1.8888888","8.0"
"C11H9FN2O8","316.034293468","1.0","0.8181818","0.27272728","1.75","8.0"
"C12H11FN2O10","362.039772772","1.0833334","0.9166667","0.25","1.5","8.0"
"C10H11FN2O8","306.049943532","1.1","1.1","0.3","1.625","6.0"
"C10H11FN2O7","290.055028912","1.0","1.1","0.3","1.8571428","6.0"
"C8H11FN2O6","250.06011429199998","1.125","1.375","0.375","1.8333334","4.0"
"C11H13FN2O9","336.060508216","1.0909091","1.1818181","0.27272728","1.5555556","6.0"
"C10H9FN2O7","288.03937884799996","1.0","0.9","0.3","1.8571428","7.0"
"C11H11FN2O9","334.04485815199996","1.0909091","1.0","0.27272728","1.5555556","7.0"
"C11H11FN2O8","318.049943532","1.0","1.0","0.27272728","1.75","7.0"
"C7H8FNO5","205.038650576","1.0","1.1428572","0.2857143","1.8","4.0"
"C8H11FN2O5","234.065199672","1.0","1.375","0.375","2.2","4.0"
"C9H11FN2O7","278.055028912","1.1111112","1.2222222","0.33333334","1.7142857","5.0"
"C4H9FN2O6","200.04446422799998","2.25","2.25","0.75","1.1666666","1.0"
"C6H11FN2O6","226.06011429199998","1.5","1.8333334","0.5","1.5","2.0"
"C2H7FN2O3","126.044070304","3.0","3.5","1.5","1.6666666","0.0"
"C5H9FN2O6","212.04446422799998","1.8","1.8","0.6","1.3333334","2.0"
"C4H11FN2O5","186.065199672","2.0","2.75","0.75","1.4","0.0"
"C7H13FN2O8","272.065593596","1.5714285","1.8571428","0.42857143","1.25","2.0"
"C12H13FN2O10","364.055422836","1.0833334","1.0833334","0.25","1.5","7.0"
"C10H18FN3O7","311.11287813599995","1.1","1.8","0.4","2.0","3.0"
"C6H11FN2O4","194.07028505199997","1.1666666","1.8333334","0.5","2.25","2.0"
"C7H11FN2O5","222.065199672","1.1428572","1.5714285","0.42857143","2.0","3.0"
"C8H11FN2O7","266.055028912","1.25","1.375","0.375","1.5714285","4.0"
"C5H8FN2O6","211.03663919599998","1.8","1.6","0.6","1.3333334","2.5"
"C3H10FN2O5","173.05737463999998","2.6666667","3.3333333","1.0","1.2","-0.5"
"C6H10FN2O8","257.0421185","1.8333334","1.6666666","0.5","1.125","2.5"
"C3H9FN2O5","172.049549608","2.6666667","3.0","1.0","1.2","0.0"
"C3H7FN2O4","154.03898492399998","2.3333333","2.3333333","1.0","1.5","1.0"
"C6H11FN2O8","258.049943532","1.8333334","1.8333334","0.5","1.125","2.0"
"C8H13FN2O8","284.065593596","1.375","1.625","0.375","1.375","3.0"
"C14H18FN3O10","407.097621996","1.0","1.2857143","0.2857143","1.8","7.0"
"C12H17N2O9","333.093405124","0.9166667","1.4166666","0.16666667","1.5555556","5.5"
"C10H14NO9","292.06685602799996","1.0","1.4","0.1","1.2222222","4.5"
"C13H17N2O10","361.088319744","0.9230769","1.3076923","0.15384616","1.5","6.5"
"C6H9F2N2O9","291.027611308","2.1666667","1.5","0.6666667","1.1111112","2.5"
"C3H9F2N2O8","239.032696688","4.0","3.0","1.3333334","0.875","-0.5"
"C4H9F2N2O9","267.027611308","3.25","2.25","1.0","0.8888889","0.5"
"C5H11F2N2O8","265.048346752","2.4","2.2","0.8","1.125","0.5"
"C6H11F2N2O9","293.04326137199996","2.1666667","1.8333334","0.6666667","1.1111112","1.5"
"C14H21F2N4O10","443.122574312","1.1428572","1.5","0.42857143","2.0","5.5"
"C8F2","133.99680644","0.25","0.0","0.25","12.5","8.0"
"C8F2O","149.99172106","0.375","0.0","0.25","10.0","8.0"
"C8H2F2O","152.007371124","0.375","0.25","0.25","10.0","7.0"
"C10H11F2N3O6","307.06159151199995","1.1","1.1","0.5","2.5","6.0"
"C7H9F2O4","195.04689020799998","0.85714287","1.2857143","0.2857143","2.25","2.5"
"C10H12F2N3O7","324.064331164","1.2","1.2","0.5","2.142857","5.5"
"C9H8F2N5O2","256.064605936","1.0","0.8888889","0.7777778","8.0","7.5"
"C13H18F2N5O9","426.107258596","1.2307693","1.3846154","0.53846157","2.2222223","6.5"
"C14H22F2N5O9","442.138558724","1.1428572","1.5714285","0.5","2.3333333","5.5"
"C2H7FN5O4","184.048206924","5.0","3.5","3.0","2.0","1.5"
"C4H9FN5O4","210.063856988","2.5","2.25","1.5","2.5","2.5"
"C5H9FN5O6","254.05368622799998","2.4","1.8","1.2","1.8333334","3.5"
"C2H3N4","83.03577109599999","2.0","1.5","2.0","7.5","3.5"
"C4H2N3O","108.019786684","1.0","0.5","0.75","7.0","5.5"
"CN3","54.009222","3.0","0.0","3.0","5.0","3.5"
"CH3N4","71.035771096","4.0","3.0","4.0","6.25","2.5"
"C3H5N4","97.05142115999999","1.3333334","1.6666666","1.3333334","8.75","3.5"
"C4H5N4O","125.04633577999999","1.25","1.25","1.0","8.0","4.5"
"C5H9FN5O5","238.05877160799997","2.2","1.8","1.2","2.2","3.5"
"C3H7FN5O4","196.048206924","3.3333333","2.3333333","2.0","2.25","2.5"
"C6H9FN5O7","282.048600848","2.1666667","1.5","1.0","1.7142857","4.5"
"C7H9FN5O5","262.058771608","1.5714285","1.2857143","0.85714287","2.6","5.5"
"C8H11FN5O7","308.064250912","1.625","1.375","0.75","2.0","5.5"
"C9H11FN5O9","352.054080152","1.6666666","1.2222222","0.6666667","1.6666666","6.5"
"C7H9FN5O7","294.048600848","1.8571428","1.2857143","0.85714287","1.8571428","5.5"
"C10H11FN5O10","380.048994772","1.6","1.1","0.6","1.6","7.5"
"C7H16FN6O3","251.12679159199996","1.4285715","2.2857144","1.0","4.6666665","2.5"
"H3FN3O2","96.020929556","7.5","3.75","5.0","2.0","0.5"
"CH6FN4O2","125.047478652","7.0","6.0","5.0","3.0","0.5"
"CH4FN4O2","123.031828588","7.0","4.0","5.0","3.0","1.5"
"CH6FN4O3","141.042393272","8.0","6.0","5.0","2.0","0.5"
"C9H20FN6O3","279.15809171999996","1.1111112","2.2222223","0.7777778","5.3333335","2.5"
"C7H8FN4O","183.068214096","0.85714287","1.1428572","0.71428573","12.0","5.5"
"C8H9FN3O","182.072965128","0.625","1.125","0.5","12.0","5.5"
"C5H7FN3","128.062400444","0.8","1.4","0.8","11.25","3.5"
"CH5FN3","78.04675037999999","4.0","5.0","4.0","6.25","0.5"
"C7H11FN3","156.093700572","0.5714286","1.5714285","0.5714286","13.75","3.5"
"C3H8FN4","119.07329947599999","1.6666666","2.6666667","1.6666666","10.0","1.5"
"CH3FN3","76.03110031599999","4.0","3.0","4.0","6.25","1.5"
"C3H7FN3","104.06240044399999","1.3333334","2.3333333","1.3333334","8.75","1.5"
"C4H8FN4O","147.068214096","1.5","2.0","1.25","9.0","2.5"
"C8H12FN4O","199.099514224","0.75","1.5","0.625","13.0","4.5"
"C11H22FN6O4","321.168656404","1.0","2.0","0.6363636","4.5","3.5"
"C6H11N6O3","215.089263212","1.5","1.8333334","1.0","4.0","4.5"
"C7H14N7O3","244.115812308","1.4285715","2.0","1.0","4.6666665","4.5"
"C8H16N7O4","274.126376992","1.375","2.0","0.875","3.75","4.5"
"C4H11N6O4","207.08417783200002","2.5","2.75","1.5","2.5","2.5"
"C2H11N6O3","167.089263212","4.5","5.5","3.0","2.6666667","0.5"
"C4H13N6O3","193.104913276","2.25","3.25","1.5","3.3333333","1.5"
"H9N6O4","157.068527768","12.5","11.25","7.5","1.5","-0.5"
"C7H20N7O4","266.15767712","1.5714285","2.857143","1.0","3.5","1.5"
"C10H12FN6","235.11074760399998","0.7","1.2","0.7","21.25","7.5"
"C5H6FN6","169.06379741199999","1.4","1.2","1.4","15.0","5.5"
"C6H10FN6","185.09509753999998","1.1666666","1.6666666","1.1666666","16.25","4.5"
"C12H16FN6","263.142047732","0.5833333","1.3333334","0.5833333","23.75","7.5"
"C15H23FN7O4","384.179555436","0.8","1.5333333","0.53333336","5.75","7.5"
"C12H19FN7O","296.16351144799995","0.75","1.5833334","0.6666667","20.0","6.5"
"C13H12FN6","271.110747604","0.53846157","0.9230769","0.53846157","25.0","10.5"
"C10H10N5","200.09362032","0.5","1.0","0.5","18.75","8.5"
"C10H11N4","187.098371352","0.4","1.1","0.4","17.5","7.5"
"C10H8N3","170.071822256","0.3","0.8","0.3","16.25","8.5"
"C11H12N5O","230.10418500400002","0.54545456","1.0909091","0.45454547","16.0","8.5"
"C13H14FN6O","289.12131228799996","0.61538464","1.0769231","0.53846157","20.0","9.5"
"C12H13FN3","218.109350636","0.33333334","1.0833334","0.33333334","20.0","7.5"
"C13H13FN3O","246.104265256","0.3846154","1.0","0.30769232","17.0","8.5"
"C3H7FN3O","120.057315064","1.6666666","2.3333333","1.3333334","7.0","1.5"
"C5H9FN3O","146.072965128","1.0","1.8","0.8","9.0","2.5"
"C11H15FN3O","224.11991532","0.45454547","1.3636364","0.36363637","15.0","5.5"
"C4H7FN3O","132.057315064","1.25","1.75","1.0","8.0","2.5"
"C4H9FN3","118.07805050799999","1.0","2.25","1.0","10.0","1.5"
"H5FN3O","82.041665","6.25","6.25","5.0","4.0","-0.5"
"C6H11FN3O","160.088615192","0.8333333","1.8333334","0.6666667","10.0","2.5"
"C4H5FN3","114.04675037999999","1.0","1.25","1.0","10.0","3.5"
"C5H7FN3O","144.057315064","1.0","1.4","0.8","9.0","3.5"
"CH7FN3","80.062400444","4.0","7.0","4.0","6.25","-0.5"
"C4H9FN3O","134.072965128","1.25","2.25","1.0","8.0","1.5"
"C10H15FN3O","212.11991532","0.5","1.5","0.4","14.0","4.5"
"C5H9FN3","130.078050508","0.8","1.8","0.8","11.25","2.5"
"C7H11FN3O","172.088615192","0.71428573","1.5714285","0.5714286","11.0","3.5"
"C12H19FN3O","240.151215448","0.41666666","1.5833334","0.33333334","16.0","4.5"
"C7H10N5O","180.08853494000002","0.85714287","1.4285715","0.71428573","12.0","5.5"
"C2H5N4","85.05142115999999","2.0","2.5","2.0","7.5","2.5"
"C2H3N4","83.03577109599999","2.0","1.5","2.0","7.5","3.5"
"C3H5N4O","113.04633577999999","1.6666666","1.6666666","1.3333334","7.0","3.5"
"C3H3N4O","111.030685716","1.6666666","1.0","1.3333334","7.0","4.5"
"C2H2N3","68.024872064","1.5","1.0","1.5","6.25","3.5"
"C3H5N4","97.05142115999999","1.3333334","1.6666666","1.3333334","8.75","3.5"
"C5H7N4O","139.061985844","1.0","1.4","0.8","9.0","4.5"
"C6H7N4","135.067071224","0.6666667","1.1666666","0.6666667","12.5","5.5"
"C7H9N4O","165.077635908","0.71428573","1.2857143","0.5714286","11.0","5.5"
"C9H13N6O2","237.10999865600002","0.8888889","1.4444444","0.6666667","7.5","6.5"
"C15H21FN7O3","366.16899075199996","0.73333335","1.4","0.53333336","7.6666665","8.5"
"C10H15N2O3","211.10826734","0.5","1.5","0.2","4.0","4.5"
"C12H23N4O5","303.166844836","0.75","1.9166666","0.33333334","3.2","3.5"
"C17H25FN7O5","426.19012011999996","0.7647059","1.4705882","0.47058824","5.0","8.5"
"C16H20FN7O","345.17133648","0.5625","1.25","0.5","24.0","10.0"
"C16H22FN7O2","363.181901164","0.625","1.375","0.5","12.0","9.0"
"C11H10FO","177.07156816","0.18181819","0.90909094","0.09090909","12.0","6.5"
"C13H12FO","203.087218224","0.15384616","0.9230769","0.07692308","14.0","7.5"
"C14H14FO2","233.097782908","0.21428572","1.0","0.071428575","7.5","7.5"
"C10H10FO2","181.06648278","0.3","1.0","0.1","5.5","5.5"
"C16H16FO2","259.113432972","0.1875","1.0","0.0625","8.5","8.5"
"C14H15FO2","234.10560794","0.21428572","1.0714285","0.071428575","7.5","7.0"
"C14H13FO2","232.089957876","0.21428572","0.9285714","0.071428575","7.5","8.0"
"C16H17FO2","260.12125800399997","0.1875","1.0625","0.0625","8.5","8.0"
"C16H13FO2","256.08995787599997","0.1875","0.8125","0.0625","8.5","10.0"
"C11H11FO","178.079393192","0.18181819","1.0","0.09090909","12.0","6.0"
"C9H11FO","154.079393192","0.22222222","1.2222222","0.11111111","10.0","4.0"
"C12H13FO2","208.089957876","0.25","1.0833334","0.083333336","6.5","6.0"
"C18H19FO2","286.13690806799997","0.16666667","1.0555556","0.055555556","9.5","9.0"
"C18H26FN7O4","423.203030532","0.6666667","1.4444444","0.44444445","6.5","9.0"
"C7H11FN6","198.102922572","1.0","1.5714285","1.0","17.5","5.0"
"C4H7FN6","158.071622444","1.75","1.75","1.75","13.75","4.0"
"C3H9FN6","148.087272508","2.3333333","3.0","2.3333333","12.5","2.0"
"C9H15FN6","226.1342227","0.7777778","1.6666666","0.7777778","20.0","5.0"
"C9H11FN6","222.102922572","0.7777778","1.2222222","0.7777778","20.0","7.0"
"C12H20FN7","281.17642186","0.6666667","1.6666666","0.6666667","25.0","6.0"
"C13H22FN7O","311.186986544","0.6923077","1.6923077","0.61538464","21.0","6.0"
"C14H24FN7O3","357.192465848","0.78571427","1.7142857","0.5714286","7.3333335","6.0"
"C7H9FN6","196.087272508","1.0","1.2857143","1.0","17.5","6.0"
"H5FN6","108.05597238","8.75","6.25","8.75","8.75","1.0"
"C6H11FN6","186.102922572","1.1666666","1.8333334","1.1666666","16.25","4.0"
"C12H17FN6","264.149872764","0.5833333","1.4166666","0.5833333","23.75","7.0"
"C13H20FN7","293.17642186","0.61538464","1.5384616","0.61538464","26.25","7.0"
"C14H22FN7O2","339.181901164","0.71428573","1.5714285","0.5714286","11.0","7.0"
"C16H26FN7O4","399.203030532","0.75","1.625","0.5","6.0","7.0"
"C7H7FN6","194.071622444","1.0","1.0","1.0","17.5","7.0"
"C6H9FN6","184.087272508","1.1666666","1.5","1.1666666","16.25","5.0"
"C12H15FN6","262.1342227","0.5833333","1.25","0.5833333","23.75","8.0"
"C11H13FN6","248.118572636","0.6363636","1.1818181","0.6363636","22.5","8.0"
"C3H7FN6O","162.066537064","2.6666667","2.3333333","2.3333333","10.0","3.0"
"C5H9FN6O","188.08218712800002","1.6","1.8","1.4","12.0","4.0"
"C14H19FN6O2","322.155352068","0.64285713","1.3571428","0.5","10.5","8.0"
"C14H17FN6O","304.144787384","0.5714286","1.2142857","0.5","21.0","9.0"
"C10H10FN3","191.08587554","0.4","1.0","0.4","17.5","7.0"
"C13H12FN3O","245.096440224","0.3846154","0.9230769","0.30769232","17.0","9.0"
"C14H16FN3O","261.127740352","0.35714287","1.1428572","0.2857143","18.0","8.0"
"C13H12FN3","229.101525604","0.30769232","0.9230769","0.30769232","21.25","9.0"
"C10H8FN3","189.070225476","0.4","0.8","0.4","17.5","8.0"
"C5H6FN3","127.05457541199999","0.8","1.2","0.8","11.25","4.0"
"C11H12FN3","205.101525604","0.36363637","1.0909091","0.36363637","18.75","7.0"
"C13H14FN3O","247.112090288","0.3846154","1.0769231","0.30769232","17.0","8.0"
"C14H19FN4O","278.154289448","0.42857143","1.3571428","0.35714287","19.0","7.0"
"C16H21FN6O3","364.165916752","0.625","1.3125","0.4375","7.6666665","9.0"
"C4H6FN3O","131.049490032","1.25","1.5","1.0","8.0","3.0"
"C8H11FN4O2","214.086603812","0.875","1.375","0.625","6.5","5.0"
"C9H12FN5O3","257.092417464","1.0","1.3333334","0.6666667","5.0","6.0"
"C16H24FN7O3","381.192465848","0.6875","1.5","0.5","8.0","8.0"
"C5H11FN2O3","166.075370432","1.2","2.2","0.6","2.6666667","1.0"
