loss,mass,count,frequency
CHClOS,95.943663332,1,2.7693159789531985E-4
C7H2ClN,134.987576744,3,8.307947936859596E-4
C15H9ClO3,272.024021828,1,2.7693159789531985E-4
C6H8,80.062600256,1,2.7693159789531985E-4
CH4N2O,60.032362748,3,8.307947936859596E-4
C7HCl,119.976677712,1,2.7693159789531985E-4
CH2ClN3,90.99372474399999,1,2.7693159789531985E-4
CH2O2,46.005479304,16,0.011522208145735359
C7H9N,107.073499288,4,0.0011077263915812794
C5H9N,83.073499288,4,0.0011077263915812794
C3H8O3,92.04734411599999,1,2.7693159789531985E-4
HClO,51.971592332,1,2.7693159789531985E-4
C2ClN,72.97192668,1,2.7693159789531985E-4
C4H2N2,78.021798064,3,8.307947936859596E-4
CH2,14.015650063999999,10,0.006389477884266707
HCl2O3PS2,213.848177882,1,2.7693159789531985E-4
C5H13N,87.10479941599999,1,2.7693159789531985E-4
C2H2O2,58.005479304,1,2.7693159789531985E-4
C5H7Cl,102.023627904,2,5.538631957906397E-4
C5H11N3O,129.090211972,1,2.7693159789531985E-4
C2H7O4P,126.00819533399999,3,8.307947936859596E-4
C10H6Cl2O3,243.96939941199997,1,2.7693159789531985E-4
C5HClO,111.971592332,2,5.538631957906397E-4
C2H3N,41.026549096,6,0.001661589587371919
C13H11Cl,202.054928032,2,5.538631957906397E-4
C6H4ClO,126.995067428,1,2.7693159789531985E-4
C9H8N,130.065674256,1,2.7693159789531985E-4
C12H18N2,190.146998576,1,2.7693159789531985E-4
C9H8O,132.057514876,1,2.7693159789531985E-4
C10H12O5,212.06847348399998,1,2.7693159789531985E-4
C6H5NO2,123.0320284,2,5.538631957906397E-4
CH2O3,62.000393923999994,2,5.538631957906397E-4
C10H12Cl2N2,230.03775374399999,1,2.7693159789531985E-4
C12H8ClNS,233.006597936,3,8.307947936859596E-4
C6H3ClN2OS,185.965461396,1,2.7693159789531985E-4
C4H4,52.031300128,12,0.003323179174743838
CH9Cl2N2,119.01427864799999,1,2.7693159789531985E-4
Cl2,69.93770536,3,8.307947936859596E-4
C14H9ClOS,260.006263588,1,2.7693159789531985E-4
C4H8N2O2,116.058577496,1,2.7693159789531985E-4
O,15.99491462,1,2.7693159789531985E-4
C6H12N2O,128.094963004,1,2.7693159789531985E-4
C2H12ClN2S,131.04097206400002,1,2.7693159789531985E-4
C2H3NO,57.021463716,11,0.0030462475768485184
H3,3.023475096,1,2.7693159789531985E-4
HF,20.006228252,8,0.002215452783162559
C10H10,130.07825032,1,2.7693159789531985E-4
C9ClN,156.97192668,1,2.7693159789531985E-4
CH3ClN2,77.99847577599999,5,0.0013846579894765993
C7H5N,103.04219916,4,0.0011077263915812794
C6H13Cl,120.07057809599999,1,2.7693159789531985E-4
C5H7NO,97.052763844,1,2.7693159789531985E-4
C2H6O4,94.026608672,1,2.7693159789531985E-4
C6H5Cl2NO2,192.96973376,1,2.7693159789531985E-4
C2H2O3,74.000393924,1,2.7693159789531985E-4
C10H10O5,210.05282341999998,1,2.7693159789531985E-4
C8Cl2N2,193.94385336,1,2.7693159789531985E-4
HO3P,79.96633052199999,5,0.0013846579894765993
C3H2O,54.010564684,8,0.002215452783162559
CH2BrN,106.937061164,1,2.7693159789531985E-4
C7H6O,106.041864812,1,2.7693159789531985E-4
C4H3ClFNO2,150.983634236,1,2.7693159789531985E-4
C5H9NO2,115.063328528,1,2.7693159789531985E-4
CHClS,79.948748712,1,2.7693159789531985E-4
C6H3Cl,109.992327776,8,0.002215452783162559
CHNO,43.005813652,19,0.012042335410613787
C3H7,43.054775224,2,5.538631957906397E-4
C10HClS,187.948748712,3,8.307947936859596E-4
C10H10N2O,174.07931294,1,2.7693159789531985E-4
C13H15ClO,222.08114278,1,2.7693159789531985E-4
C3H2O2,70.005479304,1,2.7693159789531985E-4
C4H2,50.015650064,2,5.538631957906397E-4
H4FO,39.024617968,1,2.7693159789531985E-4
C6H6S,110.019021192,1,2.7693159789531985E-4
C3H8O,60.057514876,1,2.7693159789531985E-4
H3N,17.026549096,14,0.008475197029170009
CH8ClN,69.03452693599999,2,5.538631957906397E-4
C10H9Cl,164.039277968,1,2.7693159789531985E-4
C3H3NO,69.021463716,7,0.001938521185267239
C8H13N3O,167.105862036,2,5.538631957906397E-4
C6H12N2,112.10004838399999,3,8.307947936859596E-4
C17H9Cl2F3,340.003340308,1,2.7693159789531985E-4
C2H6N2,58.053098192,4,0.0011077263915812794
C4H8N3O2P,161.03541312599998,1,2.7693159789531985E-4
CHN3O,71.011961652,1,2.7693159789531985E-4
C7H2ClN3S,194.965795744,1,2.7693159789531985E-4
CS,43.972071,2,5.538631957906397E-4
C4N2S,107.978219,1,2.7693159789531985E-4
C4H4O2,84.021129368,1,2.7693159789531985E-4
C9H10,118.07825032,1,2.7693159789531985E-4
C4HNO,79.005813652,1,2.7693159789531985E-4
C2H4O,44.026214748,10,0.0027693159789531985
C6H4F3N3O4,239.01539026799998,1,2.7693159789531985E-4
C5H12O4,136.073558864,1,2.7693159789531985E-4
CHN3,55.017047032,1,2.7693159789531985E-4
C7H2BrN,178.937061164,1,2.7693159789531985E-4
C12H15ClO2,226.0760574,1,2.7693159789531985E-4
ClN,48.971926679999996,6,0.001661589587371919
C9H7N,129.057849224,1,2.7693159789531985E-4
HFO,36.001142872,1,2.7693159789531985E-4
C3H3N,53.026549096,2,5.538631957906397E-4
C2HCl,59.976677712,3,8.307947936859596E-4
C3H2O3,86.000393924,16,0.004430905566325118
C6H6ClN,127.01887687199999,1,2.7693159789531985E-4
C2H4S,60.003371128,1,2.7693159789531985E-4
C7O,99.99491462,1,2.7693159789531985E-4
C2H4Cl2NOP,158.940755738,1,2.7693159789531985E-4
C5H11N,85.08914935199999,1,2.7693159789531985E-4
C2HClO,75.971592332,6,0.001661589587371919
C4H7N,69.057849224,2,5.538631957906397E-4
C4H5NO,83.03711378,1,2.7693159789531985E-4
CHN,27.010899031999998,17,0.011202141839221268
C3H4OS,87.998285748,1,2.7693159789531985E-4
C5H13ClNO,138.068566716,1,2.7693159789531985E-4
C5H11NOS,133.056134972,2,5.538631957906397E-4
C6H6,78.046950192,12,0.0032475828171447414
ClNO,64.9668413,3,8.307947936859596E-4
C11H12Cl2,214.031605744,1,2.7693159789531985E-4
C3H3NO2,85.016378336,1,2.7693159789531985E-4
C4H11ClN,108.058002032,2,5.538631957906397E-4
C6H5Cl,112.00797784,3,8.307947936859596E-4
C5ClNO,124.9668413,1,2.7693159789531985E-4
C2H5O2PS,123.97478702999999,1,2.7693159789531985E-4
C3H4N2,68.037448128,4,0.0011077263915812794
C8H2Cl4,237.891060784,1,2.7693159789531985E-4
C6H10O5,162.05282341999998,6,0.001661589587371919
C14H6ClNO,239.013791492,1,2.7693159789531985E-4
C9HCl,143.976677712,1,2.7693159789531985E-4
C6H13N3O,143.105862036,1,2.7693159789531985E-4
HCl2,70.945530392,2,5.538631957906397E-4
C4N2OS,123.97313362,1,2.7693159789531985E-4
COS,59.96698562,4,0.0011077263915812794
C6ClN,120.97192668,1,2.7693159789531985E-4
CH3,15.023475096,11,0.007126133521711582
C5H10O2,102.06807956,2,5.538631957906397E-4
C8H8ClNO,169.029441556,1,2.7693159789531985E-4
C2H5ClFN5,153.02175105999999,1,2.7693159789531985E-4
C3H7Cl2FNO2S,209.955858044,1,2.7693159789531985E-4
C2H4O2,60.021129368,18,0.004982060083725823
CH4O,32.026214748,18,0.004984768762115757
C7H12ClNO4,209.04548554399997,1,2.7693159789531985E-4
I,126.904473,1,2.7693159789531985E-4
C3H8N2,72.06874825599999,1,2.7693159789531985E-4
C4H6N2,82.053098192,1,2.7693159789531985E-4
C3H8O6,140.03208797599999,1,2.7693159789531985E-4
C7H2O2,118.005479304,1,2.7693159789531985E-4
C2H3NO2S,104.988449336,1,2.7693159789531985E-4
C2HF,44.006228252,1,2.7693159789531985E-4
C2O2,55.98982924,4,0.0011077263915812794
C7H7ClS,157.995698904,1,2.7693159789531985E-4
C7H5Cl2,158.97683052,1,2.7693159789531985E-4
C6H5ClN2,140.01412584,1,2.7693159789531985E-4
C5H8O,84.057514876,3,8.307947936859596E-4
CH3O,31.018389716,3,8.307947936859596E-4
C10H20O2,172.14632988,1,2.7693159789531985E-4
C6H3ClN2,137.998475776,1,2.7693159789531985E-4
