0	[+]
1	[-]
2	[#6][CX3](=O)
3	[CX3H1](=O)[#6]
4	[#6][CX3](=O)[#6]
5	[#6][CX3](=S)
6	[CX3H1](=S)
7	[#6]C(=[S])[#6]
8	[CX3]=N([#6,#1])[#6,#1]
9	[#6,#1]C([#6,#1])=[N][N]([#6,#1])[#6,#1]
10	[#6,#1]C([#6,#1])=[N][N]([#6,#1])C(=[O])[N]([#6,#1])[#6,#1]
11	[#6,#1]C([#6,#1])=[N][N]([#6,#1])C(=[S])[N]([#6,#1])[#6,#1]
12	[#6,#1]C([#6,#1])=[N][OH]
13	[#6,#1]C([#6,#1])=[N][O][#6]
14	[CX3]=C=O
15	[CX3]=C=O
16	[#6,#1]C([#6,#1])([OH])([OH])
17	[#6,#1]C([#6,#1])([OH])(O[#6])
18	[#6,#1]C([#6,#1])(O[#6])(O[#6])
19	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6])
20	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1])
21	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6])
22	[#6,#1]C([#6,#1])([S][#6])([S][#6])
23	[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1]
24	[#6,#1]C([#6,#1])=C([#6,#1])[OH]
25	[#6,#1]C([#6,#1])=C([#6,#1])O[#6]
26	[#6][OH]
27	C[OH]
28	[#6][CH2][OH]
29	[#6][CH]([#6])[OH]
30	[#6][C]([#6])([#6])[OH]
31	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH]
32	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2]
33	c[OH]
34	[OH]cc[OH]
35	[OH]C=C[OH]
36	[#6]O[#6]
37	COC
38	cOC
39	cOc
40	[#6]S[#6]
41	[#6]SS[#6]
42	[#6]OO[#6]
43	[#6]O[OH]
44	[a]
45	[!#6;$([N,O,S,F,Cl,Br,I,P])]
46	[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])]
47	[$([N,O;!H0]),$(N(C)(C)C)]
48	[R]
49	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])]
50	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)O[#6]);$(C[#6,#1])])]
51	[$([N;+0,+1;$(N(=O)~[O;H0;-0,-1])])]
52	[$([C;$(C#[N;D1])])]
53	[$([N;!$(N*=[!#6])]);$(N[$([a])]);!$(N~[!#6])]
54	[$([N;$(N[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)(N)N)])])])]
55	[CX4H3][#6]
56	[CX4H2]([#6])[#6]
57	[CX4H1]([#6])([#6])[#6]
